Код;Наименование;Ед изм;Базовая цена;Фаза;Раздел;Подраздел
3–314;Двухслойная облицовка стен по металлическому каркасу, отнесенному от базовой стены, цементно-минеральными плитами АКВАПАНЕЛЬ® Внутренняя. (С686 глухие). В том числе: Обшивка каркаса;м2;521.00;Этап №3;Стены: ГКЛ;Устройство перегородок, отделка стен и потолков
3–315;Двухслойная облицовка стен по металлическому каркасу, отнесенному от базовой стены, цементно-минеральными плитами АКВАПАНЕЛЬ® Внутренняя. (С686 глухие). В том числе: Устройство металлического каркаса;м2;80.00;Этап №3;Стены: ГКЛ;Устройство перегородок, отделка стен и потолков
3–316;Двухслойная облицовка стен по металлическому каркасу, отнесенному от базовой стены, цементно-минеральными плитами АКВАПАНЕЛЬ® Внутренняя. (С686 глухие). В том числе: Устройство теплозвукоизоляции;м2;46.00;Этап №3;Стены: ГКЛ;Устройство перегородок, отделка стен и потолков
3–317;Облицовка откосов дверных и оконных проемов гипсокартонными листами ГКЛ;м;152.00;Этап №3;Стены: ГКЛ;Устройство перегородок, отделка стен и потолков
3–318;Облицовка откосов дверных и оконных проемов цементно-минеральными плитами АКВАПАНЕЛЬ® Внутренняя;м;294.00;Этап №3;Стены: ГКЛ;Устройство перегородок, отделка стен и потолков
3–319;Облицовка стен по одинарному металлическому каркасу из потолочного профиля двумя слоями гипсоволокнистых листов (С 663.) Стены глухие;м2;597.00;Этап №3;Стены: ГКЛ;Устройство перегородок, отделка стен и потолков
3–320;Облицовка стен по одинарному металлическому каркасу из потолочного профиля двумя слоями гипсоволокнистых листов (С 663.) Стены с дверным проемом;м2;612.00;Этап №3;Стены: ГКЛ;Устройство перегородок, отделка стен и потолков
3–321;Облицовка стен по одинарному металлическому каркасу из потолочного профиля двумя слоями гипсоволокнистых листов (С 663.) Стены с оконным проемом;м2;636.00;Этап №3;Стены: ГКЛ;Устройство перегородок, отделка стен и потолков
3–322;Облицовка стен по одинарному металлическому каркасу из потолочного профиля двумя слоями гипсокартонных листов (С 623) . Стены глухие;м2;576.00;Этап №3;Стены: ГКЛ;Устройство перегородок, отделка стен и потолков
3–323;Облицовка стен по одинарному металлическому каркасу из потолочного профиля двумя слоями гипсокартонных листов (С 623) . Стены с дверным проемом;м2;592.00;Этап №3;Стены: ГКЛ;Устройство перегородок, отделка стен и потолков
3–324;Облицовка стен по одинарному металлическому каркасу из потолочного профиля двумя слоями гипсокартонных листов (С 623) . Стены с оконным проемом;м2;615.00;Этап №3;Стены: ГКЛ;Устройство перегородок, отделка стен и потолков
3–325;Облицовка стен по одинарному металлическому каркасу из потолочного профиля одним слоем гипсоволокнистых листов (С 663) Стены глухие;м2;472.00;Этап №3;Стены: ГКЛ;Устройство перегородок, отделка стен и потолков
3–326;Облицовка стен по одинарному металлическому каркасу из потолочного профиля одним слоем гипсоволокнистых листов (С 663) Стены с дверным проемом;м2;486.00;Этап №3;Стены: ГКЛ;Устройство перегородок, отделка стен и потолков
3–327;Облицовка стен по одинарному металлическому каркасу из потолочного профиля одним слоем гипсоволокнистых листов (С 663) Стены с оконным проемом;м2;504.00;Этап №3;Стены: ГКЛ;Устройство перегородок, отделка стен и потолков
3–328;Облицовка стен по одинарному металлическому каркасу из потолочного профиля одним слоем гипсокартонных листов (С 623). Стены глухие;м2;233.00;Этап №3;Стены: ГКЛ;Устройство перегородок, отделка стен и потолков
3–329;Облицовка стен по одинарному металлическому каркасу из потолочного профиля одним слоем гипсокартонных листов (С 623). Стены с дверным проемом;м2;476.00;Этап №3;Стены: ГКЛ;Устройство перегородок, отделка стен и потолков
3–330;Облицовка стен по одинарному металлическому каркасу из потолочного профиля одним слоем гипсокартонных листов (С 623). Стены с оконным проемом;м2;494.00;Этап №3;Стены: ГКЛ;Устройство перегородок, отделка стен и потолков
3–331;Облицовка стен по одинарному металлическому каркасу,
 отнесенному от базовой стены, из ПН и ПС профилей, гипсокартонными листами в два слоя (С 626) глухая;м2;432.00;Этап №3;Стены: ГКЛ;Устройство перегородок, отделка стен и потолков
3–332;Облицовка стен по одинарному металлическому каркасу, отнесенному от базовой стены, гипсоволокнистыми листами в один слой (С 665) Стены глухие;м2;329.00;Этап №3;Стены: ГКЛ;Устройство перегородок, отделка стен и потолков
3–333;Облицовка стен по одинарному металлическому каркасу, отнесенному от базовой стены, гипсоволокнистыми листами в один слой (С 665) Стены с дверным проемом;м2;349.00;Этап №3;Стены: ГКЛ;Устройство перегородок, отделка стен и потолков
3–334;Облицовка стен по одинарному металлическому каркасу, отнесенному от базовой стены, гипсоволокнистыми листами в один слой (С 665) Стены с оконным проемом;м2;361.00;Этап №3;Стены: ГКЛ;Устройство перегородок, отделка стен и потолков
3–335;Облицовка стен по одинарному металлическому каркасу, отнесенному от базовой стены, из ПН и ПС профилей гипсоволокнистыми листами в два слоя (С 666) Стены глухие;м2;453.00;Этап №3;Стены: ГКЛ;Устройство перегородок, отделка стен и потолков
3–336;Облицовка стен по одинарному металлическому каркасу, отнесенному от базовой стены, из ПН и ПС профилей гипсоволокнистыми листами в два слоя (С 666). Стены с дверным проемом;м2;475.00;Этап №3;Стены: ГКЛ;Устройство перегородок, отделка стен и потолков
3–337;Облицовка стен по одинарному металлическому каркасу, отнесенному от базовой стены, из ПН и ПС профилей гипсоволокнистыми листами в два слоя (С 666). Стены с оконным проемом;м2;492.00;Этап №3;Стены: ГКЛ;Устройство перегородок, отделка стен и потолков
3–338;Облицовка стен по одинарному металлическому каркасу, отнесенному от базовой стены, из ПН и ПС профилей, гипсокартонными листами
 в два слоя (С 626). Стены с оконным проемом;м2;470.00;Этап №3;Стены: ГКЛ;Устройство перегородок, отделка стен и потолков
3–339;Облицовка стен по одинарному металлическому каркасу, отнесенному от базовой стены, из ПН и ПС профилей, гипсокартонными листами в два слоя (С 626). Стены с дверным проемом;м2;454.00;Этап №3;Стены: ГКЛ;Устройство перегородок, отделка стен и потолков
3–340;Облицовка стен по одинарному металлическому каркасу, отнесенному от базовой стены, из ПН и ПС профилей, гипсокартонными листами в один слой (С 625). Стены глухие;м2;318.00;Этап №3;Стены: ГКЛ;Устройство перегородок, отделка стен и потолков
3–341;Облицовка стен по одинарному металлическому каркасу, отнесенному от базовой стены, из ПН и ПС профилей, гипсокартонными листами в один слой (С 625). Стены с дверным проемом;м2;338.00;Этап №3;Стены: ГКЛ;Устройство перегородок, отделка стен и потолков
3–342;Облицовка стен по одинарному металлическому каркасу, отнесенному от базовой стены, из ПН и ПС профилей, гипсокартонными листами в один слой (С 625). Стены с оконным проемом;м2;350.00;Этап №3;Стены: ГКЛ;Устройство перегородок, отделка стен и потолков
3–343;Однослойная облицовка гипсокартонными листами на клею (С 611В). Стены глухие;м2;7.00;Этап №3;Стены: ГКЛ;Устройство перегородок, отделка стен и потолков
3–344;Однослойная облицовка гипсокартонными листами на клею (С 611В). Стены с дверным проемом;м2;448.00;Этап №3;Стены: ГКЛ;Устройство перегородок, отделка стен и потолков
3–345;Однослойная облицовка гипсокартонными листами на клею (С 611В). Стены с оконным проемом;м2;467.00;Этап №3;Стены: ГКЛ;Устройство перегородок, отделка стен и потолков
3–346;Однослойная облицовка стен гипсокартонными листами на клею (С 611А) Стены глухие;м2;182.00;Этап №3;Стены: ГКЛ;Устройство перегородок, отделка стен и потолков
3–347;Однослойная облицовка стен гипсокартонными листами на клею (С 611А) Стены с оконным проемом;м2;205.00;Этап №3;Стены: ГКЛ;Устройство перегородок, отделка стен и потолков
3–348;Однослойная облицовка стен гипсокартонными листами на клею (С 611Б) Стены глухие;м2;215.00;Этап №3;Стены: ГКЛ;Устройство перегородок, отделка стен и потолков
3–349;Однослойная облицовка стен гипсокартонными листами на клею (С 611Б) Стены с дверным проемом;м2;234.00;Этап №3;Стены: ГКЛ;Устройство перегородок, отделка стен и потолков
3–350;Однослойная облицовка стен гипсокартонными листами на клею (С 611Б) Стены с оконным проемом;м2;245.00;Этап №3;Стены: ГКЛ;Устройство перегородок, отделка стен и потолков
3–351;Однослойная облицовка стен по металлическому каркасу из потолочного профиля цементно-минеральными плитами АКВАПАНЕЛЬ® Внутренняя (С 683 глухие);м2;518.00;Этап №3;Стены: ГКЛ;Устройство перегородок, отделка стен и потолков
3–352;Однослойная облицовка стен по металлическому каркасу из потолочного профиля цементно-минеральными плитами АКВАПАНЕЛЬ® Внутренняя (С 683 глухие) В том числе: Обшивка каркаса;м2;266.00;Этап №3;Стены: ГКЛ;Устройство перегородок, отделка стен и потолков
3–353;Однослойная облицовка стен по металлическому каркасу из потолочного профиля цементно-минеральными плитами АКВАПАНЕЛЬ® Внутренняя (С 683 глухие) В том числе: Устройство металлического каркаса;м2;205.00;Этап №3;Стены: ГКЛ;Устройство перегородок, отделка стен и потолков
3–354;Однослойная облицовка стен по металлическому каркасу из потолочного профиля цементно-минеральными плитами АКВАПАНЕЛЬ® Внутренняя (С 683 глухие) В том числе: Устройство теплозвукоизоляции;м2;46.00;Этап №3;Стены: ГКЛ;Устройство перегородок, отделка стен и потолков
3–355;Однослойная облицовка стен по металлическому каркасу из потолочного профиля цементно-минеральными плитами АКВАПАНЕЛЬ® Внутренняя (С 683 с дверным проемом.) В том числе: Обшивка каркаса;м2;315.00;Этап №3;Стены: ГКЛ;Устройство перегородок, отделка стен и потолков
3–356;Однослойная облицовка стен по металлическому каркасу из потолочного профиля цементно-минеральными плитами АКВАПАНЕЛЬ® Внутренняя (С 683 с дверным проемом.) В том числе: Устройство металлического каркаса;м2;218.00;Этап №3;Стены: ГКЛ;Устройство перегородок, отделка стен и потолков
3–357;Однослойная облицовка стен по металлическому каркасу из потолочного профиля цементно-минеральными плитами АКВАПАНЕЛЬ® Внутренняя (С 683 с дверным проемом.) В том числе: Устройство теплозвукоизоляции;м2;46.00;Этап №3;Стены: ГКЛ;Устройство перегородок, отделка стен и потолков
3–358;Однослойная облицовка стен по металлическому каркасу из потолочного профиля цементно-минеральными плитами АКВАПАНЕЛЬ® Внутренняя (С 683 с дверным проемом);м2;581.00;Этап №3;Стены: ГКЛ;Устройство перегородок, отделка стен и потолков
3–359;Однослойная облицовка стен по металлическому каркасу из потолочного профиля цементно-минеральными плитами АКВАПАНЕЛЬ® Внутренняя (С 683 с оконным проемом);м2;588.00;Этап №3;Стены: ГКЛ;Устройство перегородок, отделка стен и потолков
3–360;Однослойная облицовка стен по металлическому каркасу из потолочного профиля цементно-минеральными плитами АКВАПАНЕЛЬ® Внутренняя (С 683 с оконным проемом). В том числе: Обшивка каркаса;м2;302.00;Этап №3;Стены: ГКЛ;Устройство перегородок, отделка стен и потолков
3–361;Однослойная облицовка стен по металлическому каркасу из потолочного профиля цементно-минеральными плитами АКВАПАНЕЛЬ® Внутренняя (С 683 с оконным проемом). В том числе: Устройство металлического каркаса;м2;239.00;Этап №3;Стены: ГКЛ;Устройство перегородок, отделка стен и потолков
3–362;Однослойная облицовка стен по металлическому каркасу из потолочного профиля цементно-минеральными плитами АКВАПАНЕЛЬ® Внутренняя (С 683 с оконным проемом). В том числе: Устройство теплозвукоизоляции;м2;46.00;Этап №3;Стены: ГКЛ;Устройство перегородок, отделка стен и потолков
3–363;Однослойная облицовка стен по металлическому каркасу, от-несенному от базовой стены, цементно-минеральными плитами АКВАПАНЕЛЬ® Внутренняя (С 685 с оконным проемом);м2;466.00;Этап №3;Стены: ГКЛ;Устройство перегородок, отделка стен и потолков
3–364;Однослойная облицовка стен по металлическому каркасу, от-несенному от базовой стены, цементно-минеральными плитами АКВАПАНЕЛЬ® Внутренняя (С 685 с оконным проемом). В том числе: Обшивка каркаса;м2;302.00;Этап №3;Стены: ГКЛ;Устройство перегородок, отделка стен и потолков
3–365;Однослойная облицовка стен по металлическому каркасу, отнесенному от базовой стены, цементно-минеральными плитами АКВАПАНЕЛЬ® Внутренняя (С 685 глухие);м2;393.00;Этап №3;Стены: ГКЛ;Устройство перегородок, отделка стен и потолков
3–366;Однослойная облицовка стен по металлическому каркасу, отнесенному от базовой стены, цементно-минеральными плитами АКВАПАНЕЛЬ® Внутренняя (С 685 глухие). В том числе: Обшивка каркаса;м2;266.00;Этап №3;Стены: ГКЛ;Устройство перегородок, отделка стен и потолков
3–367;Однослойная облицовка стен по металлическому каркасу, отнесенному от базовой стены, цементно-минеральными плитами АКВАПАНЕЛЬ® Внутренняя (С 685 глухие). В том числе: Устройство металлического каркаса;м2;80.00;Этап №3;Стены: ГКЛ;Устройство перегородок, отделка стен и потолков
3–368;Однослойная облицовка стен по металлическому каркасу, отнесенному от базовой стены, цементно-минеральными плитами АКВАПАНЕЛЬ® Внутренняя (С 685 глухие). В том числе: Устройство теплозвукоизоляции;м2;46.00;Этап №3;Стены: ГКЛ;Устройство перегородок, отделка стен и потолков
3–369;Однослойная облицовка стен по металлическому каркасу, отнесенному от базовой стены, цементно-минеральными плитами АКВАПАНЕЛЬ® Внутренняя (С 685 с дверным проемом);м2;463.00;Этап №3;Стены: ГКЛ;Устройство перегородок, отделка стен и потолков
3–370;Однослойная облицовка стен по металлическому каркасу, отнесенному от базовой стены, цементно-минеральными плитами АКВАПАНЕЛЬ® Внутренняя (С 685 с дверным проемом). В том числе: Обшивка каркаса;м2;315.00;Этап №3;Стены: ГКЛ;Устройство перегородок, отделка стен и потолков
3–371;Однослойная облицовка стен по металлическому каркасу, отнесенному от базовой стены, цементно-минеральными плитами АКВАПАНЕЛЬ® Внутренняя (С 685 с дверным проемом). В том числе: Устройство металлического каркаса;м2;101.00;Этап №3;Стены: ГКЛ;Устройство перегородок, отделка стен и потолков
3–372;Однослойная облицовка стен по металлическому каркасу, отнесенному от базовой стены, цементно-минеральными плитами АКВАПАНЕЛЬ® Внутренняя (С 685 с дверным проемом). В том числе: Устройство теплозвукоизоляции;м2;46.00;Этап №3;Стены: ГКЛ;Устройство перегородок, отделка стен и потолков
3–373;Однослойная облицовка стен по металлическому каркасу, отнесенному от базовой стены, цементно-минеральными плитами АКВАПАНЕЛЬ® Внутренняя (С 685 с оконным проемом). В том числе: Устройство металлического каркаса;м2;116.00;Этап №3;Стены: ГКЛ;Устройство перегородок, отделка стен и потолков
3–374;Однослойная облицовка стен по металлическому каркасу, отнесенному от базовой стены, цементно-минеральными плитами АКВАПАНЕЛЬ® Внутренняя (С 685 с оконным проемом). В том числе: Устройство теплозвукоизоляции;м2;46.00;Этап №3;Стены: ГКЛ;Устройство перегородок, отделка стен и потолков
3–375;Установка уголков под отделку на внешние углы откосов из гипсокартонных и гипсоволокнистых листов ГКЛ, ГВЛ с нанесением гипсового раствора вручную;м;139.00;Этап №3;Стены: ГКЛ;Устройство перегородок, отделка стен и потолков
3–376;Установка уголков под отделку на внешние углы стен и перегородок из гипсокартонных и гипсоволокнистых листов ГКЛ, ГВЛ с нанесением гипсового раствора вручную;м;116.00;Этап №3;Стены: ГКЛ;Устройство перегородок, отделка стен и потолков
3–276;Теплоизоляция стен на балконе пенополистиролом с устройством каркаса;м2;440.00;Этап №3;Стены: теплоизоляция;Стены
3–277;Теплоизоляция стен пенополистиролом;м2;440.00;Этап №3;Стены: теплоизоляция;Стены
3–278;Теплоизоляция стен пенополистиролом с устройством каркаса;м2;440.00;Этап №3;Стены: теплоизоляция;Стены
3–287;Утепление стен Пеноплексом, пенофолом с устройством каркаса;м2;440.00;Этап №3;Стены: теплоизоляция;Стены
3–288;Утепление стен пеноплексом(зона лоджий);м2;190.00;Этап №3;Стены: теплоизоляция;Стены
3–289;Утепление стен Пеноплексом/мин.ватой с устройством каркаса;м2;315.00;Этап №3;Стены: теплоизоляция;Стены
3–290;Утепление стен с монтажом каркаса;м2;440.00;Этап №3;Стены: теплоизоляция;Стены
3–291;Утепление стен с утройством каркаса;м2;440.00;Этап №3;Стены: теплоизоляция;Стены
3–292;Утепление стены пеноплексом на монтажные гвозди;м2;440.00;Этап №3;Стены: теплоизоляция;Стены
4–22;Монтаж воздуховода гибкого;м.п.;125.00;Этап №4;Вентиляция: Воздуховоды;Монтаж сетей отопления, кондиционирования и вентиляции
4–23;Монтаж воздуховода стального оцинкованного;м.п.;435.00;Этап №4;Вентиляция: Воздуховоды;Монтаж сетей отопления, кондиционирования и вентиляции
4–24;Монтаж воздуховода d100 мм;м.п.;310.00;Этап №4;Вентиляция: Воздуховоды;Монтаж сетей отопления, кондиционирования и вентиляции
4–25;Монтаж воздуховода d150 мм;м.п.;310.00;Этап №4;Вентиляция: Воздуховоды;Монтаж сетей отопления, кондиционирования и вентиляции
4–26;Монтаж воздуховодов и фасонных изделий;м.п.;435.00;Этап №4;Вентиляция: Воздуховоды;Монтаж сетей отопления, кондиционирования и вентиляции
4–27;Монтаж воздуховодов из оцинкованной стали толщигной 1 мм;м.п.;685.00;Этап №4;Вентиляция: Воздуховоды;Монтаж сетей отопления, кондиционирования и вентиляции
4–28;Монтаж воздуховодов из оцинкованной стали толщиной 0,5 мм;м.п.;435.00;Этап №4;Вентиляция: Воздуховоды;Монтаж сетей отопления, кондиционирования и вентиляции
4–29;Монтаж воздуховодов из оцинкованной стали толщиной 0,7 мм;м.п.;560.00;Этап №4;Вентиляция: Воздуховоды;Монтаж сетей отопления, кондиционирования и вентиляции
4–30;Монтаж воздушного клапана с площадкой под привод 1000x500 мм;шт;1740.00;Этап №4;Вентиляция: Воздуховоды;Монтаж сетей отопления, кондиционирования и вентиляции
4–31;Монтаж воздушного клапана с площадкой под привод 125 мм;шт;500.00;Этап №4;Вентиляция: Воздуховоды;Монтаж сетей отопления, кондиционирования и вентиляции
4–32;Монтаж воздушного клапана с площадкой под привод 160 мм;шт;500.00;Этап №4;Вентиляция: Воздуховоды;Монтаж сетей отопления, кондиционирования и вентиляции
4–33;Монтаж воздушного клапана с площадкой под привод 200 мм;шт;500.00;Этап №4;Вентиляция: Воздуховоды;Монтаж сетей отопления, кондиционирования и вентиляции
4–34;Монтаж воздушного клапана с площадкой под привод 250 мм;шт;745.00;Этап №4;Вентиляция: Воздуховоды;Монтаж сетей отопления, кондиционирования и вентиляции
4–35;Монтаж воздушного клапана с площадкой под привод 315 мм;шт;745.00;Этап №4;Вентиляция: Воздуховоды;Монтаж сетей отопления, кондиционирования и вентиляции
4–36;Монтаж воздушного клапана с площадкой под привод 400x200 мм;шт;870.00;Этап №4;Вентиляция: Воздуховоды;Монтаж сетей отопления, кондиционирования и вентиляции
4–37;Монтаж воздушного клапана с площадкой под привод 500x250 мм;шт;870.00;Этап №4;Вентиляция: Воздуховоды;Монтаж сетей отопления, кондиционирования и вентиляции
4–38;Монтаж воздушного клапана с площадкой под привод 500x300 мм;шт;870.00;Этап №4;Вентиляция: Воздуховоды;Монтаж сетей отопления, кондиционирования и вентиляции
4–39;Монтаж воздушного клапана с площадкой под привод 600x300 мм;шт;870.00;Этап №4;Вентиляция: Воздуховоды;Монтаж сетей отопления, кондиционирования и вентиляции
4–40;Монтаж воздушного клапана с площадкой под привод 600x350 мм;шт;870.00;Этап №4;Вентиляция: Воздуховоды;Монтаж сетей отопления, кондиционирования и вентиляции
4–41;Монтаж воздушного клапана с площадкой под привод 700x400 мм;шт;1120.00;Этап №4;Вентиляция: Воздуховоды;Монтаж сетей отопления, кондиционирования и вентиляции
4–42;Монтаж воздушного клапана с площадкой под привод 800x500 мм;шт;1490.00;Этап №4;Вентиляция: Воздуховоды;Монтаж сетей отопления, кондиционирования и вентиляции
4–47;Монтаж гибкого воздуховода;м.п.;250.00;Этап №4;Вентиляция: Воздуховоды;Монтаж сетей отопления, кондиционирования и вентиляции
4–48;Монтаж гибкой виброгасящей вставки 100 мм;шт;225.00;Этап №4;Вентиляция: Воздуховоды;Монтаж сетей отопления, кондиционирования и вентиляции
4–49;Монтаж гибкой виброгасящей вставки 1000х500 мм;шт;685.00;Этап №4;Вентиляция: Воздуховоды;Монтаж сетей отопления, кондиционирования и вентиляции
4–50;Монтаж гибкой виброгасящей вставки 125 мм;шт;225.00;Этап №4;Вентиляция: Воздуховоды;Монтаж сетей отопления, кондиционирования и вентиляции
4–51;Монтаж гибкой виброгасящей вставки 160 мм;шт;225.00;Этап №4;Вентиляция: Воздуховоды;Монтаж сетей отопления, кондиционирования и вентиляции
4–52;Монтаж гибкой виброгасящей вставки 200 мм;шт;225.00;Этап №4;Вентиляция: Воздуховоды;Монтаж сетей отопления, кондиционирования и вентиляции
4–53;Монтаж гибкой виброгасящей вставки 250 мм;шт;450.00;Этап №4;Вентиляция: Воздуховоды;Монтаж сетей отопления, кондиционирования и вентиляции
4–54;Монтаж гибкой виброгасящей вставки 315 мм;шт;450.00;Этап №4;Вентиляция: Воздуховоды;Монтаж сетей отопления, кондиционирования и вентиляции
4–55;Монтаж гибкой виброгасящей вставки 400х200 мм;шт;335.00;Этап №4;Вентиляция: Воздуховоды;Монтаж сетей отопления, кондиционирования и вентиляции
4–56;Монтаж гибкой виброгасящей вставки 500х250 мм;шт;335.00;Этап №4;Вентиляция: Воздуховоды;Монтаж сетей отопления, кондиционирования и вентиляции
4–57;Монтаж гибкой виброгасящей вставки 500х300 мм;шт;335.00;Этап №4;Вентиляция: Воздуховоды;Монтаж сетей отопления, кондиционирования и вентиляции
4–58;Монтаж гибкой виброгасящей вставки 600х300 мм;шт;335.00;Этап №4;Вентиляция: Воздуховоды;Монтаж сетей отопления, кондиционирования и вентиляции
4–59;Монтаж гибкой виброгасящей вставки 600х350 мм;шт;335.00;Этап №4;Вентиляция: Воздуховоды;Монтаж сетей отопления, кондиционирования и вентиляции
4–60;Монтаж гибкой виброгасящей вставки 700х400 мм;шт;450.00;Этап №4;Вентиляция: Воздуховоды;Монтаж сетей отопления, кондиционирования и вентиляции
4–61;Монтаж гибкой виброгасящей вставки 800х500 мм;шт;685.00;Этап №4;Вентиляция: Воздуховоды;Монтаж сетей отопления, кондиционирования и вентиляции
4–62;Монтаж диффузора;шт;190.00;Этап №4;Вентиляция: Воздуховоды;Монтаж сетей отопления, кондиционирования и вентиляции
4–63;Монтаж диффузора 450х450 мм;шт;1615.00;Этап №4;Вентиляция: Воздуховоды;Монтаж сетей отопления, кондиционирования и вентиляции
4–64;Монтаж диффузора d100 мм;шт;190.00;Этап №4;Вентиляция: Воздуховоды;Монтаж сетей отопления, кондиционирования и вентиляции
4–65;Монтаж диффузора d125 мм;шт;250.00;Этап №4;Вентиляция: Воздуховоды;Монтаж сетей отопления, кондиционирования и вентиляции
4–66;Монтаж диффузора d160 мм;шт;250.00;Этап №4;Вентиляция: Воздуховоды;Монтаж сетей отопления, кондиционирования и вентиляции
4–67;Монтаж диффузора d200 мм;шт;250.00;Этап №4;Вентиляция: Воздуховоды;Монтаж сетей отопления, кондиционирования и вентиляции
4–68;Монтаж диффузора d250 мм;шт;250.00;Этап №4;Вентиляция: Воздуховоды;Монтаж сетей отопления, кондиционирования и вентиляции
4–71;Монтаж круглой наружной решетки;шт;620.00;Этап №4;Вентиляция: Воздуховоды;Монтаж сетей отопления, кондиционирования и вентиляции
4–79;Монтаж наружной решетки;шт;620.00;Этап №4;Вентиляция: Воздуховоды;Монтаж сетей отопления, кондиционирования и вентиляции
4–81;Монтаж решетки декоративной;шт;995.00;Этап №4;Вентиляция: Воздуховоды;Монтаж сетей отопления, кондиционирования и вентиляции
4–82;Монтаж решетки наружной;шт;620.00;Этап №4;Вентиляция: Воздуховоды;Монтаж сетей отопления, кондиционирования и вентиляции
4–83;Монтаж решетки площадью более 0,4 м2;шт;930.00;Этап №4;Вентиляция: Воздуховоды;Монтаж сетей отопления, кондиционирования и вентиляции
4–84;Монтаж решетки площадью более1 м2;м2;1120.00;Этап №4;Вентиляция: Воздуховоды;Монтаж сетей отопления, кондиционирования и вентиляции
4–85;Монтаж решетки d100 мм;шт;250.00;Этап №4;Вентиляция: Воздуховоды;Монтаж сетей отопления, кондиционирования и вентиляции
4–86;Монтаж решетки d125 мм;шт;250.00;Этап №4;Вентиляция: Воздуховоды;Монтаж сетей отопления, кондиционирования и вентиляции
4–88;Монтаж шумоглушителя 600*350;шт;870.00;Этап №4;Вентиляция: Воздуховоды;Монтаж сетей отопления, кондиционирования и вентиляции
4–90;Прокладка воздуховодов d100 мм к конвекторам;м.п.;150.00;Этап №4;Вентиляция: Воздуховоды;Монтаж сетей отопления, кондиционирования и вентиляции
4–91;Прокладка воздуховодов d150 мм к конвекторам;м.п.;190.00;Этап №4;Вентиляция: Воздуховоды;Монтаж сетей отопления, кондиционирования и вентиляции
4–01;Монтаж вентилятора канального малошумного;шт;620.00;Этап №4;Вентиляция: Оборудование;Монтаж сетей отопления, кондиционирования и вентиляции
4–02;Монтаж вентилятора на вытяжку;шт;1860.00;Этап №4;Вентиляция: Оборудование;Монтаж сетей отопления, кондиционирования и вентиляции
4–03;Монтаж вентилятора с установочным диаметром патрубков 100 - 200 мм;шт;1860.00;Этап №4;Вентиляция: Оборудование;Монтаж сетей отопления, кондиционирования и вентиляции
4–04;Монтаж вентилятора с установочным диаметром патрубков 250 - 350 мм;шт;2480.00;Этап №4;Вентиляция: Оборудование;Монтаж сетей отопления, кондиционирования и вентиляции
4–05;Монтаж вентилятора с установочными размерами 1000 х 500 мм;шт;4960.00;Этап №4;Вентиляция: Оборудование;Монтаж сетей отопления, кондиционирования и вентиляции
4–06;Монтаж вентилятора с установочными размерами 400 х 200 мм;шт;1860.00;Этап №4;Вентиляция: Оборудование;Монтаж сетей отопления, кондиционирования и вентиляции
4–07;Монтаж вентилятора с установочными размерами 500 х 250 мм;шт;1860.00;Этап №4;Вентиляция: Оборудование;Монтаж сетей отопления, кондиционирования и вентиляции
4–08;Монтаж вентилятора с установочными размерами 500 х 300 мм;шт;1860.00;Этап №4;Вентиляция: Оборудование;Монтаж сетей отопления, кондиционирования и вентиляции
4–09;Монтаж вентилятора с установочными размерами 600 х 300 мм;шт;2235.00;Этап №4;Вентиляция: Оборудование;Монтаж сетей отопления, кондиционирования и вентиляции
4–10;Монтаж вентилятора с установочными размерами 600 х 350 мм;шт;2235.00;Этап №4;Вентиляция: Оборудование;Монтаж сетей отопления, кондиционирования и вентиляции
